category,subcategory,course_id,course_name,question,answer
Admission Data,UG,UG-300A3F,B.Tech Computer Science,What documents are required to apply for the B.Tech Computer Science course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-300A3F,B.Tech Computer Science,What is the fee for the B.Tech Computer Science course?,The fee for B.Tech Computer Science is GBP 17509 per year.
Course Data,UG,UG-300A3F,B.Tech Computer Science,What is the start date and end date for the B.Tech Computer Science course?,The B.Tech Computer Science starts on 2024-07-01 and ends on 2027-07-01.
Course Data,UG,UG-300A3F,B.Tech Computer Science,What are the modules present in the B.Tech Computer Science course?,Modules: Programming Fundamentals; Data Structures and Algorithms; Databases; Operating Systems; Computer Networks; Software Engineering.
Course Data,UG,UG-300A3F,B.Tech Computer Science,What is the course id of the B.Tech Computer Science course?,The course id for B.Tech Computer Science is UG-300A3F.
Course Data,UG,UG-300A3F,B.Tech Computer Science,Who is the course instructor for the B.Tech Computer Science course?,The B.Tech Computer Science course is taught by Prof. C. Nair.
Course Data,UG,UG-300A3F,B.Tech Computer Science,"The course B.Tech Computer Science comes under which type: UG, Masters, or PhD?",B.Tech Computer Science is a UG level course.
Admission Data,UG,UG-300A3F,B.Tech Computer Science,How do I apply for the B.Tech Computer Science course?,"To apply for B.Tech Computer Science, fill the online application form, upload required documents, and pay the application fee. Further steps may include interview or entrance test."
Course Data,UG,UG-300A3F,B.Tech Computer Science,Is the B.Tech Computer Science course offered full-time or part-time?,The B.Tech Computer Science is typically offered full-time; part-time options depend on department policy.
Admission Data,UG,UG-4FAAA8,B.Tech Mechanical Engineering,What documents are required to apply for the B.Tech Mechanical Engineering course?,Documents required: 10th and 12th mark sheets; Degree certificates (if applicable); Transcripts; Passport-size photos; Valid ID proof (Aadhaar/Passport).
Fees Data,UG,UG-4FAAA8,B.Tech Mechanical Engineering,What is the fee for the B.Tech Mechanical Engineering course?,The fee for B.Tech Mechanical Engineering is GBP 14253 per year.
Course Data,UG,UG-4FAAA8,B.Tech Mechanical Engineering,What is the start date and end date for the B.Tech Mechanical Engineering course?,The B.Tech Mechanical Engineering starts on 2024-07-01 and ends on 2027-07-01.
Course Data,UG,UG-4FAAA8,B.Tech Mechanical Engineering,What are the modules present in the B.Tech Mechanical Engineering course?,Modules: Engineering Mechanics; Thermodynamics; Machine Design; Fluid Mechanics; Manufacturing Processes.
